question,answer
what is bmi,"BMI stands for Body Mass Index. It's a number calculated from your height and weight."
how to prevent cold,"Wash your hands frequently, stay hydrated, and get enough sleep."
what is normal blood pressure,"Normal blood pressure is typically around 120/80 mmHg."
what is diabetes,"Diabetes is a chronic condition where the body cannot regulate blood sugar properly."
what is the normal body temperature,"Normal body temperature is about 98.6°F or 37°C."
how to treat fever,"Drink plenty of fluids, rest, and take paracetamol if needed."
how to boost immunity,"Eat healthy food, get enough sleep, exercise regularly, and manage stress."
what is dehydration,"Dehydration occurs when your body loses more fluids than it takes in."
what causes headache,"Common causes include stress, dehydration, or lack of sleep."
how to improve sleep,"Maintain a regular sleep schedule, avoid screens before bed, and relax your mind."
what is covid 19,"COVID-19 is a contagious respiratory illness caused by the coronavirus SARS-CoV-2."
how to lose weight,"Eat a balanced diet, reduce calories, and exercise regularly."
what are symptoms of flu,"Common flu symptoms include fever, chills, cough, sore throat, and body ache."
what is anemia,"Anemia is a condition in which the blood lacks enough healthy red blood cells."
how to cure sore throat,"Gargle with warm salt water and drink warm fluids."
what is typhoid,"Typhoid is a bacterial infection spread through contaminated food and water."
how to relieve stress,"Try meditation, breathing exercises, regular sleep, or talk to a friend or counselor."
what is hypertension,"Hypertension is high blood pressure that can lead to heart problems if untreated."
how to stay healthy,"Eat well, exercise regularly, stay hydrated, sleep enough, and avoid smoking or alcohol."
what is asthma,"Asthma is a condition where airways narrow and swell, making it hard to breathe."
